country_pt, country_en, svg_fluorish, svg_github
Panamá,Panama,https://public.flourish.studio/country-flags/svg/pa.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/pa.svg
Irã,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
Iraque,Iraq,https://public.flourish.studio/country-flags/svg/iq.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/iq.svg
Bélgica,Belgium,https://public.flourish.studio/country-flags/svg/be.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/be.svg
Arábia Saudita,Saudi Arabia,https://public.flourish.studio/country-flags/svg/sa.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/sa.svg
EUA,United States,https://public.flourish.studio/country-flags/svg/us.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/us.svg
Croácia,Croatia,https://public.flourish.studio/country-flags/svg/hr.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/hr.svg
Suíça,Switzerland,https://public.flourish.studio/country-flags/svg/ch.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ch.svg
Áustria,Austria,https://public.flourish.studio/country-flags/svg/at.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/at.svg
Bósnia e Herzegovina,Bosnia and Herzegovina,https://public.flourish.studio/country-flags/svg/ba.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ba.svg
Coreia do Sul, South Korea,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg
