year,tournament_name,player_name,player_team_name,player_team_code,player_id,goals,rank,player_wikipedia_link,posição,wikipedia_profile_link
1986,1986 FIFA Men's World Cup,Emilio Butragueño,Spain,ESP,P-12940,5,3,https://en.wikipedia.org/wiki/Emilio_Butrague%C3%B1o,Atacante,https://upload.wikimedia.org/wikipedia/commons/8/8d/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Emilio_Butrague%C3%B1o_-_240422_191751-2_%28cropped%29.jpg
1986,1986 FIFA Men's World Cup,Careca,Brazil,BRA,P-90635,5,4,https://en.wikipedia.org/wiki/Careca,Atacante,https://upload.wikimedia.org/wikipedia/commons/7/7a/Antonio_de_Oliveira_Filho_%28Careca%29_01.jpg
1986,1986 FIFA Men's World Cup,Alessandro Altobelli,Italy,ITA,P-46574,4,5,https://en.wikipedia.org/wiki/Alessandro_Altobelli,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/f3/Alessandro_altobelli.jpg
1990,1990 FIFA Men's World Cup,Salvatore Schillaci,Italy,ITA,P-76544,6,1,https://en.wikipedia.org/wiki/Salvatore_Schillaci,Atacante,https://upload.wikimedia.org/wikipedia/commons/1/10/Salvatore_Schillaci.jpg
1990,1990 FIFA Men's World Cup,Tomáš Skuhravý,Czechoslovakia,CSK,P-71260,5,2,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Skuhrav%C3%BD,Atacante,https://upload.wikimedia.org/wikipedia/commons/d/d1/Tomas_Skuhravy_2008.jpg
1990,1990 FIFA Men's World Cup,Gary Lineker,England,ENG,P-36651,4,3,https://en.wikipedia.org/wiki/Gary_Lineker,Atacante,https://upload.wikimedia.org/wikipedia/commons/c/c1/Prime_Minister_Keir_Starmer_hosts_St_George%27s_Day_Reception_%2854470857860%29_%28cropped%29.jpg
1990,1990 FIFA Men's World Cup,Lothar Matthäus,Germany,DEU,P-49502,4,4,https://en.wikipedia.org/wiki/Lothar_Matth%C3%A4us,Defensor,https://upload.wikimedia.org/wikipedia/commons/8/84/2019_Lothar_Matth%C3%A4us.jpg
1990,1990 FIFA Men's World Cup,Roger Milla,Cameroon,CMR,P-58080,4,5,https://en.wikipedia.org/wiki/Roger_Milla,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/9a/Milla2008cropped.jpg
1994,1994 FIFA Men's World Cup,Hristo Stoichkov,Bulgaria,BGR,P-81648,6,1,https://en.wikipedia.org/wiki/Hristo_Stoichkov,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/f3/Stoichkov_in_2016.jpg
1994,1994 FIFA Men's World Cup,Oleg Salenko,Russia,RUS,P-73354,6,2,https://en.wikipedia.org/wiki/Oleg_Salenko,Atacante,https://upload.wikimedia.org/wikipedia/commons/d/d3/O.Salenko.JPG
1994,1994 FIFA Men's World Cup,Jürgen Klinsmann,Germany,DEU,P-91373,5,3,https://en.wikipedia.org/wiki/J%C3%BCrgen_Klinsmann,Atacante,https://upload.wikimedia.org/wikipedia/commons/a/af/J%C3%BCrgen_Klinsmann_14021113000678638425063004371092_64131.jpg
1994,1994 FIFA Men's World Cup,Kennet Andersson,Sweden,SWE,P-60371,5,4,https://en.wikipedia.org/wiki/Kennet_Andersson,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/b9/Kennet_Andersson_in_Jan_2014.jpg
1994,1994 FIFA Men's World Cup,Roberto Baggio,Italy,ITA,P-78756,5,5,https://en.wikipedia.org/wiki/Roberto_Baggio,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/4e/%D8%B1%D9%88%D8%A8%D8%B1%D8%AA%D9%88_%D8%A8%D8%A7%D8%AC%D9%88_%28cropped%29.jpg
1998,1998 FIFA Men's World Cup,Davor Šuker,Croatia,HRV,P-58374,6,1,https://en.wikipedia.org/wiki/Davor_%C5%A0uker,Atacante,https://upload.wikimedia.org/wikipedia/commons/a/af/XVIII_%D0%9A%D0%BE%D0%BD%D0%B3%D1%80%D0%B5%D1%81%D1%81_%D0%A4%D0%A4%D0%A3._11_%D0%BC%D0%B0%D1%80%D1%82%D0%B0_2016_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_672209_%28cropped%29.jpg
1998,1998 FIFA Men's World Cup,Christian Vieri,Italy,ITA,P-34670,5,2,https://en.wikipedia.org/wiki/Christian_Vieri,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/42/Christian_Vieri_%28cropped%29.jpg
1998,1998 FIFA Men's World Cup,Gabriel Batistuta,Argentina,ARG,P-84542,5,3,https://en.wikipedia.org/wiki/Gabriel_Batistuta,Atacante,https://upload.wikimedia.org/wikipedia/commons/1/13/Omar_Batistuta_%282%29.jpg
1998,1998 FIFA Men's World Cup,Luis Hernández,Mexico,MEX,P-45941,4,4,"https://en.wikipedia.org/wiki/Luis_Hern%C3%A1ndez_(footballer,_born_1968)",Atacante,https://upload.wikimedia.org/wikipedia/commons/c/c4/Luis_Matador_Hernandez.jpg
1998,1998 FIFA Men's World Cup,Marcelo Salas,Chile,CHL,P-39251,4,5,https://en.wikipedia.org/wiki/Marcelo_Salas,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Salas_2015.jpg
2002,2002 FIFA Men's World Cup,Ronaldo,Brazil,BRA,P-62722,8,1,https://en.wikipedia.org/wiki/Ronaldo_(Brazilian_footballer),Atacante,https://upload.wikimedia.org/wikipedia/commons/7/78/Ronaldo_Lu%C3%ADs_Naz%C3%A1rio_de_Lima_2019_%283x4_cropped%29.jpg
2002,2002 FIFA Men's World Cup,Miroslav Klose,Germany,DEU,P-27787,5,2,https://en.wikipedia.org/wiki/Miroslav_Klose,Atacante,https://upload.wikimedia.org/wikipedia/commons/8/8c/2016209185719_2016-07-27_Champions_for_Charity_-_Sven_-_1D_X_-_0149_-_DV3P4742_mod.jpg
2002,2002 FIFA Men's World Cup,Rivaldo,Brazil,BRA,P-74261,5,3,https://en.wikipedia.org/wiki/Rivaldo,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/b/b4/Rivaldo_bunyodkor_2010.jpg
2002,2002 FIFA Men's World Cup,Christian Vieri,Italy,ITA,P-34670,4,4,https://en.wikipedia.org/wiki/Christian_Vieri,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/42/Christian_Vieri_%28cropped%29.jpg
2002,2002 FIFA Men's World Cup,Jon Dahl Tomasson,Denmark,DNK,P-50534,4,5,https://en.wikipedia.org/wiki/Jon_Dahl_Tomasson,Atacante,https://upload.wikimedia.org/wikipedia/commons/e/e6/Dahl_Thomasson_2021_%28cropped%29.jpg
2006,2006 FIFA Men's World Cup,Miroslav Klose,Germany,DEU,P-27787,5,1,https://en.wikipedia.org/wiki/Miroslav_Klose,Atacante,https://upload.wikimedia.org/wikipedia/commons/8/8c/2016209185719_2016-07-27_Champions_for_Charity_-_Sven_-_1D_X_-_0149_-_DV3P4742_mod.jpg
2006,2006 FIFA Men's World Cup,David Villa,Spain,ESP,P-49097,3,2,https://en.wikipedia.org/wiki/David_Villa,Atacante,https://upload.wikimedia.org/wikipedia/commons/a/a4/Spain-Tahiti%2C_Confederations_Cup_2013_%2802%29_%28Villa_crop%29.jpg
2006,2006 FIFA Men's World Cup,Fernando Torres,Spain,ESP,P-71661,3,3,https://en.wikipedia.org/wiki/Fernando_Torres,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/57/Fernando_Torres_2017.jpg
2006,2006 FIFA Men's World Cup,Hernán Crespo,Argentina,ARG,P-19888,3,4,https://en.wikipedia.org/wiki/Hern%C3%A1n_Crespo,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/9f/Chelsea_Legends_1_Inter_Forever_4_%2827457022797%29.jpg
2006,2006 FIFA Men's World Cup,Lukas Podolski,Germany,DEU,P-36287,3,5,https://en.wikipedia.org/wiki/Lukas_Podolski,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/7/7d/Lukas_Podolski_2023.jpg
2010,2010 FIFA Men's World Cup,David Villa,Spain,ESP,P-49097,5,1,https://en.wikipedia.org/wiki/David_Villa,Atacante,https://upload.wikimedia.org/wikipedia/commons/a/a4/Spain-Tahiti%2C_Confederations_Cup_2013_%2802%29_%28Villa_crop%29.jpg
2010,2010 FIFA Men's World Cup,Diego Forlán,Uruguay,URY,P-86087,5,2,https://en.wikipedia.org/wiki/Diego_Forl%C3%A1n,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/f3/U10_Diego_Forl%C3%A1n_7524.jpg
2010,2010 FIFA Men's World Cup,Thomas Müller,Germany,DEU,P-28154,5,3,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/a/aa/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg
2010,2010 FIFA Men's World Cup,Wesley Sneijder,Netherlands,NLD,P-51336,5,4,https://en.wikipedia.org/wiki/Wesley_Sneijder,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/4/42/Wesley_Sneijder_%2815487233555%29_%28cropped%29.jpg
2010,2010 FIFA Men's World Cup,Gonzalo Higuaín,Argentina,ARG,P-29398,4,5,https://en.wikipedia.org/wiki/Gonzalo_Higua%C3%ADn,Atacante,https://upload.wikimedia.org/wikipedia/commons/7/72/Gonzalo_Higua%C3%ADn_2019.jpg
2014,2014 FIFA Men's World Cup,James Rodríguez,Colombia,COL,P-89392,6,1,https://en.wikipedia.org/wiki/James_Rodr%C3%ADguez,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/7/79/James_Rodriguez_2018.jpg
2014,2014 FIFA Men's World Cup,Thomas Müller,Germany,DEU,P-28154,5,2,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/a/aa/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg
2014,2014 FIFA Men's World Cup,Lionel Messi,Argentina,ARG,P-14758,4,3,https://en.wikipedia.org/wiki/Lionel_Messi,Atacante,https://upload.wikimedia.org/wikipedia/commons/2/27/Lionel_Messi_NE_Revolution_Inter_Miami_7.9.25-178.jpg
2014,2014 FIFA Men's World Cup,Robin van Persie,Netherlands,NLD,P-99934,4,4,https://en.wikipedia.org/wiki/Robin_van_Persie,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/65/Loco-Fener_%2810%29.jpg
2014,2014 FIFA Men's World Cup,Neymar,Brazil,BRA,P-87008,4,5,https://en.wikipedia.org/wiki/Neymar,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/bb/Neymar_Jr._with_Al_Hilal%2C_3_October_2023_-_03_%28cropped%29.jpg
2018,2018 FIFA Men's World Cup,Harry Kane,England,ENG,P-58924,6,1,https://en.wikipedia.org/wiki/Harry_Kane,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/91/Harry_Kane_on_October_10%2C_2023.jpg
2018,2018 FIFA Men's World Cup,Antoine Griezmann,France,FRA,P-90908,4,2,https://en.wikipedia.org/wiki/Antoine_Griezmann,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/6e/FRA-ARG_%2810%29_%28cropped%29.jpg
2018,2018 FIFA Men's World Cup,Cristiano Ronaldo,Portugal,PRT,P-70442,4,3,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/67/Cristiano_Ronaldo_2275_%28cropped%29.jpg
2018,2018 FIFA Men's World Cup,Denis Cheryshev,Russia,RUS,P-43675,4,4,https://en.wikipedia.org/wiki/Denis_Cheryshev,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/4/48/Denis_Cheryshev_2019.jpg
