Código;País;codigo;Ataque;Defesa;Global
83;Ghana;GHA;1,45181746;1,46927348;2,133117
26;Bolivia;BOL;1,85350244;1,14937922;2,130377
77;FYR of Macedonia;MKD;1,65830574;1,27509711;2,114501
160;Norway;NOR;1,69293203;1,22653396;2,076439
62;DR Congo;COD;1,93719853;0,99498556;1,927485
235;Uzbekistan;UZB;1,22278484;1,57079755;1,920747
74;Finland;FIN;1,40728885;1,3565661;1,90908
3;Algeria;ALG;1,97600017;0,95831889;1,893638
2;Albania;ALB;1,21027961;1,524654;1,845258
33;Bulgaria;BUL;1,48215699;1,23927619;1,836802
97;Hungary;HUN;1,69490866;1,05784294;1,792947
37;Cameroon;CMR;1,20796527;1,43885141;1,738083
165;Panama;PAN;1,29785782;1,32837691;1,724044
214;Syria;SYR;1,35045308;1,26155551;1,703672
185;Saudi Arabia;KSA;1,64304094;1,02342641;1,681531
80;Georgia;GEO;1,24821405;1,32864522;1,658434
34;Burkina Faso;BFA;1,32373369;1,25114833;1,656187
51;Cote dIvoire;CIV;1,24536781;1,32563895;1,650908
198;South Africa;RSA;1,55221925;1,0531992;1,634796
102;Iraq;IRQ;1,36961798;1,15569581;1,582862
231;United Arab Emirates;UAE;1,17159196;1,34086317;1,570945
242;Zambia;ZAM;1,24135486;1,2571827;1,56061
104;Israel;ISR;1,17053425;1,28330859;1,502157
95;Honduras;HON;1,27959054;1,13057367;1,446671
243;Zimbabwe;ZIM;1,4334872;0,98906256;1,417809
38;Canada;CAN;1,1714188;1,19386509;1,398516
44;China;CHN;1,21570982;1,10542709;1,343879
10;Armenia;ARM;1,67502408;0,78094743;1,308106
19;Belarus;BLR;1,11799087;1,16220318;1,299333
70;Estonia;EST;1,09556786;1,15770909;1,268349
229;Uganda;UGA;0,80420557;1,56876503;1,26161
120;Libya;LBY;1,04004374;1,20283681;1,251003
173;Qatar;QAT;1,33976809;0,92438169;1,238457
108;Jordan;JOR;1,13651772;1,08268062;1,230486
106;Jamaica;JAM;1,11994646;1,09554645;1,226953
91;Guinea;GUI;1,58389325;0,76912286;1,218209
129;Mali;MLI;1,00934395;1,11557049;1,125994
48;Congo;CGO;1,24383296;0,90180455;1,121694
16;Bahrain;BHR;0,92529493;1,17263167;1,08503
183;Sansibar;;1,3471371;0,77985331;1,050569
150;New Zealand;NZL;0,97953837;1,04610492;1,0247
117;Lebanon;LIB;0,95573061;1,07079878;1,023395
39;Cape Verde;CPV;1,06428772;0,95717762;1,018712
55;Cyprus;CYP;1,05370113;0,95799415;1,00944
164;Palestine;PLE;1,12753849;0,89151657;1,005219
144;Namibia;NAM;0,91180225;1,09435457;0,997835
161;Oman;OMA;0,98452488;0,98308043;0,967867
223;Trinidad and Tobago;TRI;1,20834656;0,79253144;0,957653
116;Latvia;LVA;1,03489914;0,88747499;0,918447
94;Haiti;HAI;1,09040507;0,83603731;0,911619
125;Madagascar;MAD;1,06661088;0,81248179;0,866602
90;Guatemala;GUA;1,00769497;0,84660328;0,853118
22;Benin;BEN;1,10380834;0,77063806;0,850637
66;El Salvador;SLV;0,93523283;0,88758677;0,8301
78;Gabon;GAB;0,84313529;0,97922014;0,825615
221;Togo;TOG;0,88071625;0,93410155;0,822678
178;Rwanda;RWA;0,88495618;0,92403188;0,817728
14;Azerbaijan;AZE;0,94107232;0,86023366;0,809542
131;Martinique;;1,05050304;0,770068;0,808959
123;Luxembourg;LUX;1,05640149;0,76570918;0,808896
109;Kazakhstan;KAZ;0,89096605;0,89623932;0,798519
113;Kuwait;KUW;0,79488622;0,99559564;0,791385
6;Angola;ANG;0,70064913;1,12901933;0,791046
35;Burundi;BDI;0,84141897;0,93270953;0,784799
219;Thailand;THA;1,03443629;0,75038125;0,776222
110;Kenya;KEN;0,69320804;1,09372899;0,758182
155;North Korea;PRK;1,13178726;0,64933468;0,734909
41;Central African Republic;CTA;1,15406421;0,60044144;0,692948
142;Mozambique;MOZ;0,86624458;0,79030693;0,684599
238;Vietnam;VIE;0,77152505;0,85537183;0,659941
122;Lithania;LTU;0,7443731;0,87145204;0,648685
209;Sudan;SDN;0,63820119;0,9479686;0,604995
151;Nicaragua;NCA;0,83409976;0,71772945;0,598658
212;Swaziland;SWZ;0,76212318;0,7825521;0,596401
112;Kosovo;KVX;0,71909773;0,81804655;0,588255
218;Tanzania;TAN;0,81273729;0,72205576;0,586842
132;Mauritania;MTN;0,72731751;0,80535657;0,58575
191;Sierra Leone;SLE;0,81100341;0,71729146;0,581726
68;Equatorial Guinea;EQG;0,69297983;0,81832066;0,56708
152;Niger;NIG;0,65514596;0,84667774;0,554698
126;Malawi;MWI;0,56503692;0,96832729;0,547141
92;Guinea-Bissau;GNB;0,8229969;0,66212691;0,544928
137;Moldova;MDA;0,51976234;0,99238035;0,515802
72;Faroe Islands;FRO;0,51408998;0,9959155;0,51199
29;Botswana;BOT;0,65666063;0,74761661;0,49093
21;Belize;BLZ;0,95559906;0,51085324;0,488171
61;Dominican Republic;DOM;0,74349117;0,64519861;0,479699
71;Ethiopia;ETH;0,95660945;0,49815407;0,476539
134;Mayotte;;0,78086468;0,61011515;0,476417
119;Liberia;LBR;0,72333045;0,64225282;0,464561
54;Curacao;CUW;0,6354204;0,70303034;0,44672
47;Comoros;COM;0,51727999;0,85891802;0,444301
42;Chad;CHA;0,71786253;0,6105719;0,438307
76;French Guiana;;0,97681463;0,44613887;0,435795
100;Indonesia;IDN;0,74321883;0,5670962;0,421477
96;Hong Kong;HKG;0,55897839;0,74402007;0,415891
118;Lesotho;LES;0,66606216;0,62415973;0,415729
205;St. Kitts and Nevis;SKN;0,67778137;0,58943458;0,399508
8;Antigua and Barbuda;ATG;0,75043613;0,49615879;0,372335
114;Kyrgyzstan;KGZ;0,71095072;0,46667203;0,331781
226;Turkmenistan;TKM;0,72829201;0,45502465;0,331391
130;Malta;MLT;0,42555007;0,77119239;0,328181
211;Suriname;SUR;0,56040989;0,57034369;0,319626
169;Philippines;PHI;0,71538333;0,4344871;0,310825
93;Guyana;GUY;0,70705656;0,4362353;0,308443
217;Tajikistan;TJK;0,70799445;0,42329222;0,299689
184;São Tome e Ptincipe;STP;0,56216988;0,50975453;0,286569
99;India;IND;0,62603558;0,45664495;0,285876
79;Gambia;GAM;0,38324763;0,73154234;0,280362
88;Guadeloupe;;0,66226553;0,42264418;0,279903
1;Afghanistan;AFG;0,55515815;0,47272621;0,262438
23;Bermuda;BER;0,70317838;0,36628495;0,257564
240;Yemen;YEM;0,35047677;0,67111623;0,235211
236;Vanuatu;VAN;0,59266226;0,39425841;0,233662
18;Barbados;BRB;0,57707925;0,4047436;0,233569
192;Singapore;SIN;0,44038873;0,52129625;0,229573
208;St. Vincent and the Grenadines;VIN;0,85794385;0,25890427;0,222125
87;Grenada;GRN;0,57487981;0,37311196;0,214495
133;Mauritius;MRI;0,48060477;0,44449734;0,213628
73;Fiji;FIJ;0,50778498;0,41268966;0,209558
140;Montserrat;MSR;0,55757579;0,36116748;0,201378
53;Cuba;CUB;0,43585476;0,46166398;0,201218
196;Solomon Islands;SOL;0,46832864;0,41989297;0,196648
143;Myanmar;MYA;0,53651345;0,36150168;0,193951
5;Andorra;AND;0,29755238;0,65058402;0,193583
216;Taiwan;;0,55573414;0,34036299;0,189151
215;Tahiti;TAH;0,32671996;0,57243331;0,187025
206;St. Lucia;LCA;0,41045613;0,45394459;0,186324
149;New Caledonia;NCL;0,3819874;0,44971279;0,171785
190;Seychelles;SEY;0,40211149;0,42312025;0,170142
200;South Sudan;SSD;0,50159766;0,33528553;0,168178
127;Malaysia;MAS;0,4391797;0,36820955;0,16171
172;Puerto Rico;PUR;0,36591976;0,43686457;0,159857
60;Dominica;DMA;0,4180526;0,36455011;0,152401
128;Maldives;MDV;0,60040229;0,24665833;0,148094
89;Guam;GUM;0,32989345;0,43035513;0,141971
166;Papua New Guinea;PNG;0,66365597;0,21092648;0,139983
40;Cayman Islands;CAY;0,21943375;0,63057553;0,13837
121;Liechtenstein;LIE;0,25043764;0,54179954;0,135687
36;Cambodia;CAM;0,41696328;0,32450172;0,135305
11;Aruba;ARU;0,28622587;0,471313;0,134902
162;Pakistan;PAK;0,4092927;0,29341118;0,120091
84;Gibraltar;GIB;0,28630684;0,37338947;0,106904
69;Eritrea;ERI;0,37442587;0,26257742;0,098316
27;Bonaire;;0,41350186;0,20204203;0,083545
124;Macau;MAC;0,35371313;0,22433235;0,079349
146;Nepal;NEP;0,19478887;0,40197572;0,0783
227;Turks and Caicos Islands;TCA;0,43485703;0,15149885;0,06588
138;Mongolia;MNG;0,40218011;0,16266479;0,065421
182;San Marino;SMR;0,18463561;0,33774007;0,062359
115;Laos;LAO;0,28464841;0,21835616;0,062155
32;Brunei;BRU;0,37050425;0,15561761;0,057657
59;Djibouti;DJI;0,24459113;0,2255538;0,055168
220;Timor-Leste;TLS;0,2362244;0,23075445;0,05451
197;Somalia;SOM;0,1821863;0,26611285;0,048482
24;Bhutan;BHU;0,29631274;0,1518498;0,044995
180;Saint-Martin;;0,66271989;0,06468176;0,042866
17;Bangladesh;BAN;0,1641617;0,24376102;0,040016
233;US Virgin Islands;VIR;0,19179147;0,17565166;0,033688
49;Cook Islands;COK;0,11230908;0,23488059;0,026379
193;Sint Maarten;;0,19624555;0,1221092;0,023963
31;British Virgin Islands;VGB;0,12936352;0,16568005;0,021433
204;Sri Lanka;SRI;0,1281036;0,16436765;0,021056
228;Tuvalu;;0,27731576;0,07373979;0,020449
4;American Samoa;ASA;0,20113096;0,0914881;0,018401
7;Anguilla;AIA;0,0892452;0,14544638;0,01298
181;Samoa;SAM;0,15362392;0,07965481;0,012237
159;Northern Mariana Islands;;0,14966822;0,07668226;0,011477
222;Tonga;TGA;0,11585434;0,08281476;0,009594
25;Bohemia and Moravia;;0,001;0,99999947;0,001
45;CIS;;0,001;0,99999947;0,001
57;Czechoslovakia;;0,001;0,99999947;0,001
63;Dutch East Indies;;0,001;0,99999947;0,001
81;German Dem Republic;;0,001;0,99999947;0,001
85;Great Britain;;0,001;0,99999947;0,001
111;Kiribati;;0,001;0,99999947;0,001
136;Micronesia;;0,001;0,99999947;0,001
145;Nauru;;0,001;0,99999947;0,001
148;Netherlands Antilles;;0,001;0,99999947;0,001
154;Niue;;0,001;0,99999947;0,001
156;North Vietnam;;0,001;0,99999947;0,001
157;North Yemen;;0,001;0,99999947;0,001
163;Palau;;0,001;0,99999947;0,001
174;RCS;;0,001;0,99999947;0,001
179;Saarland;;0,001;0,99999947;0,001
189;Serbia and Montenegro;;0,001;0,99999947;0,001
201;South Yemen;;0,001;0,99999947;0,001
202;Soviet Union;;0,001;0,99999947;0,001
207;St. Pierre and Miquelon;#N/D;0,001;0,99999947;0,001
241;Yugoslavia;;0,001;0,99999947;0,001
15;Bahamas;BAH;0,001;0,1758673;0,000176
