sel1	gols1	gols2	sel2	data	peso
USA	2	0	South Korea	735265	1
Zimbabwe	0	1	Nigeria	735265	1
Libya	1	1	Ghana	735265	1
Singapore	1	3	Jordan	735268	2.5
St. Vincent and the Grenadines	3	2	Dominica	735271	1
St. Vincent and the Grenadines	0	0	Dominica	735273	1
Lebanon	3	1	Pakistan	735283	1
Iraq	2	0	North Korea	735285	1
Malaysia	0	0	Philippines	735293	1
Iran	3	2	Kuwait	735295	2.5
Barbados	0	2	Jamaica	735295	1
Lithania	1	1	Kazakhstan	735297	1
Azerbaijan	1	0	Philippines	735297	1
Albania	2	0	Malta	735297	1
St. Lucia	0	5	Jamaica	735297	1
Malawi	1	4	Zimbabwe	735297	1
Burundi	1	1	Rwanda	735297	1
France	2	0	Netherlands	735297	1
Mauritania	1	1	Niger	735297	1
Burkina Faso	1	1	Comoros	735297	1
Mozambique	1	1	Angola	735297	1
Namibia	1	1	Tanzania	735297	1
Jordan	2	1	Syria	735297	2.5
Zambia	2	1	Uganda	735297	1
Vietnam	3	1	Hong Kong	735297	2.5
Senegal	1	1	Mali	735297	1
Botswana	3	0	South Sudan	735297	1
Yemen	1	2	Malaysia	735297	2.5
Qatar	0	0	Bahrain	735297	2.5
Oman	3	1	Singapore	735297	2.5
Uzbekistan	1	1	United Arab Emirates	735297	2.5
Georgia	2	0	Liechtenstein	735297	1
India	2	2	Bangladesh	735297	1
Iraq	3	1	China	735297	2.5
Saudi Arabia	1	0	Indonesia	735297	2.5
Thailand	2	5	Lebanon	735297	2.5
Kosovo	0	0	Haiti	735297	1
Gibraltar	0	2	Estonia	735297	1
Morocco	1	1	Gabon	735297	1
Portugal	5	1	Cameroon	735297	1
England	1	0	Denmark	735297	1
Wales	3	1	Iceland	735297	1
Germany	1	0	Chile	735297	1
Romania	0	0	Argentina	735297	1
Spain	1	0	Italy	735297	1
Ireland	1	2	Serbia	735297	1
Algeria	2	0	Slovenia	735297	1
Australia	3	4	Ecuador	735297	1
Andorra	0	3	Moldova	735297	1
FYR of Macedonia	2	1	Latvia	735297	1
Iran	1	2	Guinea	735297	1
Russia	2	0	Armenia	735297	1
Bulgaria	2	1	Belarus	735297	1
Luxembourg	0	0	Cape Verde	735297	1
Belgium	2	2	Cote dIvoire	735297	1
Japan	4	2	New Zealand	735297	1
South Africa	0	5	Brazil	735297	1
Greece	0	2	South Korea	735297	1
Poland	0	1	Scotland	735297	1
Montenegro	1	0	Ghana	735297	1
Israel	1	3	Slovakia	735297	1
Bosnia and Herzegovina	0	2	Egypt	735297	1
Colombia	1	1	Tunisia	735297	1
Hungary	1	2	Finland	735297	1
Czech Republic	2	2	Norway	735297	1
Cyprus	0	0	Northern Ireland	735297	1
Turkey	2	1	Sweden	735297	1
Ukraine	2	0	USA	735297	1
Austria	1	1	Uruguay	735297	1
Suisse	2	2	Croatia	735297	1
Honduras	2	1	Venezuela	735298	1
Mexico	0	0	Nigeria	735298	1
Costa Rica	2	1	Paraguay	735298	1
Lesotho	0	1	Swaziland	735299	1
Lesotho	0	0	Swaziland	735301	1
Yemen	2	0	Nepal	735317	1
Andorra	0	1	Indonesia	735318	1
Aruba	2	2	Guam	735319	1
Cuba	1	0	Indonesia	735321	1
Aruba	2	0	Guam	735322	1
USA	2	2	Mexico	735326	1
Philippines	3	0	Nepal	735334	1
Mauritania	1	0	Mauritius	735335	2.5
Afghanistan	0	0	Kyrgyzstan	735336	1
Yemen	0	0	Chad	735338	1
Guadeloupe	3	2	French Guiana	735340	1
Guadeloupe	0	1	Martinique	735343	1
Mauritius	0	2	Mauritania	735343	2.5
Tanzania	0	3	Burundi	735349	1
Philippines	0	0	Malaysia	735350	1
Grenada	0	0	St. Vincent and the Grenadines	735353	1
Dominica	0	2	St. Lucia	735354	1
Panama	1	1	Serbia	735354	1
Grenada	0	1	St. Lucia	735355	1
Dominica	2	3	St. Vincent and the Grenadines	735356	1
Tanzania	0	0	Malawi	735357	1
Dominica	3	5	Grenada	735357	1
Tajikistan	1	0	Afghanistan	735357	1
St. Lucia	0	0	St. Vincent and the Grenadines	735358	1
Botswana	1	4	Swaziland	735364	1
Afghanistan	1	0	Kyrgyzstan	735365	1
Germany	0	0	Poland	735366	1
Maldives	7	1	Laos	735366	1
Kuwait	3	2	Afghanistan	735367	1
Indonesia	1	1	Dominican Republic	735368	1
Kuwait	2	2	Kyrgyzstan	735369	1
Namibia	1	0	Congo	735370	2.5
Madagascar	2	1	Uganda	735370	2.5
Malawi	2	0	Chad	735370	2.5
Swaziland	1	1	Sierra Leone	735370	2.5
Mauritania	1	0	Equatorial Guinea	735370	2.5
São Tome e Ptincipe	0	2	Benin	735370	2.5
Netherlands	1	1	Ecuador	735370	1
Kenya	1	0	Comoros	735370	2.5
Mozambique	5	0	South Sudan	735370	2.5
Burundi	0	0	Botswana	735371	2.5
Libya	0	0	Rwanda	735371	2.5
Tanzania	1	0	Zimbabwe	735371	2.5
Central African Republic	0	0	Guinea-Bissau	735371	2.5
Iran	0	0	Belarus	735371	1
Liberia	1	0	Lesotho	735371	2.5
Palestine	1	0	Kyrgyzstan	735372	1
Maldives	2	3	Myanmar	735372	1
Turkmenistan	5	1	Laos	735373	1
Philippines	0	0	Afghanistan	735373	1
Finland	2	2	Czech Republic	735374	1
Liechtenstein	1	5	Belarus	735374	1
Myanmar	0	2	Palestine	735374	1
Kyrgyzstan	0	2	Maldives	735374	1
French Guiana	0	0	Suriname	735374	1
Kosovo	1	6	Turkey	735374	1
Burkina Faso	1	1	Senegal	735374	1
Afghanistan	3	1	Turkmenistan	735375	1
Laos	0	2	Philippines	735375	1
Ukraine	2	1	Niger	735375	1
Hungary	2	2	Denmark	735375	1
Slovakia	2	0	Montenegro	735376	1
Bulgaria	1	1	Canada	735376	1
Maldives	0	0	Palestine	735376	1
Kyrgyzstan	1	0	Myanmar	735376	1
Saudi Arabia	0	4	Moldova	735377	1
Morocco	4	0	Mozambique	735377	1
Turkmenistan	0	2	Philippines	735377	1
Afghanistan	0	0	Laos	735377	1
Ireland	1	2	Turkey	735378	1
Mali	1	2	Guinea	735378	1
Thailand	1	1	Kuwait	735378	1
Kosovo	1	3	Senegal	735378	1
Russia	1	0	Slovakia	735379	1
Australia	1	1	South Africa	735379	1
Montenegro	0	0	Iran	735379	1
Serbia	2	1	Jamaica	735379	1
FYR of Macedonia	0	2	Cameroon	735379	1
Belgium	5	1	Luxembourg	735379	1
Estonia	1	1	Gibraltar	735379	1
Moldova	1	1	Canada	735380	1
Palestine	2	0	Afghanistan	735380	1
United Arab Emirates	3	4	Armenia	735380	1
Japan	1	0	Cyprus	735380	1
France	4	0	Norway	735380	1
Uzbekistan	0	1	Oman	735380	1
Philippines	2	2	Maldives	735380	1
Tanzania	1	0	Malawi	735380	1
South Korea	0	1	Tunisia	735381	1
Angola	2	0	Morocco	735381	1
Scotland	2	2	Nigeria	735381	1
Denmark	1	0	Sweden	735381	1
Suriname	1	0	French Guiana	735381	1
USA	2	0	Azerbaijan	735381	1
Lithania	1	0	Finland	735382	1
Latvia	1	1	Estonia	735382	1
Cameroon	1	2	Paraguay	735382	1
Saudi Arabia	0	2	Georgia	735382	1
Mexico	3	0	Israel	735382	1
Uzbekistan	0	1	Oman	735382	1
Afghanistan	1	1	Maldives	735382	1
Palestine	1	0	Philippines	735383	1
Qatar	0	0	FYR of Macedonia	735383	1
Comoros	1	1	Kenya	735383	2.5
French Guiana	6	0	British Virgin Islands	735383	1
Aruba	1	0	Turks and Caicos Islands	735383	1
Montserrat	1	0	US Virgin Islands	735383	1
South Sudan	0	0	Mozambique	735383	2.5
New Zealand	0	0	South Africa	735383	1
Honduras	0	2	Turkey	735383	1
Uruguay	1	0	Northern Ireland	735383	1
Suisse	1	0	Jamaica	735383	1
Austria	1	1	Iceland	735383	1
England	3	0	Peru	735383	1
Iran	1	1	Angola	735383	1
Spain	2	0	Bolivia	735383	1
Algeria	3	1	Armenia	735384	1
Chad	3	1	Malawi	735384	2.5
Guinea-Bissau	3	1	Central African Republic	735384	2.5
Uganda	1	0	Madagascar	735384	2.5
Rwanda	3	0	Libya	735384	2.5
Sierra Leone	1	0	Swaziland	735384	2.5
Latvia	1	0	Lithania	735384	1
Estonia	0	2	Finland	735384	1
Colombia	2	2	Senegal	735384	1
Albania	0	1	Romania	735384	1
Norway	1	1	Russia	735384	1
Italy	0	0	Ireland	735384	1
Netherlands	1	0	Ghana	735384	1
Chile	3	2	Egypt	735384	1
Mexico	3	1	Ecuador	735384	1
Portugal	0	0	Greece	735384	1
Croatia	2	1	Mali	735384	1
Bosnia and Herzegovina	2	1	Cote dIvoire	735384	1
Congo	3	0	Namibia	735385	2.5
Benin	2	0	São Tome e Ptincipe	735385	2.5
Equatorial Guinea	3	0	Mauritania	735385	2.5
Lesotho	2	0	Liberia	735385	2.5
Zimbabwe	2	2	Tanzania	735385	2.5
Botswana	1	0	Burundi	735385	2.5
Panama	1	1	Serbia	735385	1
Turks and Caicos Islands	0	6	French Guiana	735385	1
USA	2	1	Turkey	735385	1
Honduras	2	4	Israel	735385	1
Sweden	0	2	Belgium	735385	1
France	1	1	Paraguay	735385	1
Germany	2	2	Cameroon	735385	1
Aruba	7	0	British Virgin Islands	735385	1
Costa Rica	1	3	Japan	735386	1
Bonaire	2	1	US Virgin Islands	735386	1
Brazil	4	0	Panama	735387	1
British Virgin Islands	0	2	Turks and Caicos Islands	735387	1
Aruba	0	2	French Guiana	735387	1
United Arab Emirates	1	0	Georgia	735387	1
Greece	0	0	Nigeria	735387	1
Czech Republic	1	2	Austria	735387	1
Mexico	0	1	Bosnia and Herzegovina	735387	1
Suisse	2	0	Peru	735387	1
Mexico	0	1	Bosnia and Herzegovina	735388	1
Argentina	3	0	Trinidad and Tobago	735388	1
Jamaica	2	2	Egypt	735388	1
Greece	0	0	Nigeria	735388	1
Montserrat	0	0	Bonaire	735388	1
Iceland	1	0	Estonia	735388	1
El Salvador	1	2	Cote dIvoire	735388	1
Hungary	1	0	Albania	735388	1
Algeria	2	1	Romania	735388	1
Netherlands	2	0	Wales	735388	1
Ecuador	2	2	England	735388	1
Italy	1	1	Luxembourg	735388	1
Gibraltar	1	0	Malta	735388	1
Chile	2	0	Northern Ireland	735389	1
Uruguay	2	0	Slovenia	735389	1
Japan	4	3	Zambia	735390	1
Brazil	1	0	Serbia	735390	1
Poland	2	1	Lithania	735390	1
Greece	2	1	Bolivia	735390	1
Croatia	1	0	Australia	735390	1
Russia	2	0	Morocco	735390	1
Germany	6	1	Armenia	735390	1
Mexico	0	1	Portugal	735390	1
Colombia	3	0	Jordan	735390	1
Argentina	2	0	Slovenia	735391	1
England	0	0	Honduras	735391	1
Belgium	1	0	Tunisia	735391	1
El Salvador	0	2	Spain	735391	1
Hungary	3	0	Kazakhstan	735391	1
Costa Rica	1	1	Ireland	735391	1
USA	2	1	Nigeria	735391	1
Estonia	2	1	Tajikistan	735391	1
Cameroon	1	0	Moldova	735391	1
San Marino	0	3	Albania	735392	1
France	8	0	Jamaica	735392	1
Trinidad and Tobago	0	2	Iran	735392	1
Ghana	4	0	South Korea	735393	1
Ireland	1	5	Portugal	735394	1
Brazil	3	1	Croatia	735396	4
Chile	3	1	Australia	735397	4
Spain	1	5	Netherlands	735397	4
Mexico	1	0	Cameroon	735397	4
Uruguay	1	3	Costa Rica	735398	4
Colombia	3	0	Greece	735398	4
Cote dIvoire	2	1	Japan	735398	4
England	1	2	Italy	735398	4
Suisse	2	1	Ecuador	735399	4
Argentina	2	1	Bosnia and Herzegovina	735399	4
France	3	0	Honduras	735399	4
Germany	4	0	Portugal	735400	4
Iran	0	0	Nigeria	735400	4
Ghana	1	2	USA	735400	4
Russia	1	1	South Korea	735401	4
Belgium	2	1	Algeria	735401	4
Brazil	0	0	Mexico	735401	4
Australia	2	3	Netherlands	735402	4
Cameroon	0	4	Croatia	735402	4
Spain	0	2	Chile	735402	4
Uruguay	2	1	England	735403	4
Japan	0	0	Greece	735403	4
Colombia	2	1	Cote dIvoire	735403	4
China	2	0	FYR of Macedonia	735403	1
Italy	0	1	Costa Rica	735404	4
Suisse	2	5	France	735404	4
Honduras	1	2	Ecuador	735404	4
Indonesia	4	0	Pakistan	735405	1
Argentina	1	0	Iran	735405	4
Nigeria	1	0	Bosnia and Herzegovina	735405	4
Germany	2	2	Ghana	735405	4
USA	2	2	Portugal	735406	4
South Korea	2	4	Algeria	735406	4
Belgium	1	0	Russia	735406	4
China	0	0	FYR of Macedonia	735406	1
Netherlands	2	0	Chile	735407	4
Cameroon	1	4	Brazil	735407	4
Croatia	1	3	Mexico	735407	4
Australia	0	3	Spain	735407	4
Costa Rica	0	0	England	735408	4
Italy	0	1	Uruguay	735408	4
Greece	2	1	Cote dIvoire	735408	4
Japan	1	4	Colombia	735408	4
Indonesia	2	0	Nepal	735409	1
Bosnia and Herzegovina	3	1	Iran	735409	4
Nigeria	2	3	Argentina	735409	4
Ecuador	0	0	France	735409	4
Honduras	0	3	Suisse	735409	4
Portugal	2	1	Ghana	735410	4
Algeria	1	1	Russia	735410	4
South Korea	0	1	Belgium	735410	4
USA	0	1	Germany	735410	4
Brazil	1	1	Chile	735412	4
Colombia	2	0	Uruguay	735412	4
Netherlands	2	1	Mexico	735413	4
Costa Rica	1	1	Greece	735413	4
China	1	3	Mali	735413	1
France	2	0	Nigeria	735414	4
Germany	1	1	Algeria	735414	4
Belgium	1	1	USA	735415	4
Argentina	0	0	Suisse	735415	4
Botswana	4	2	Tanzania	735415	1
Vietnam	6	0	Myanmar	735416	1
France	0	1	Germany	735418	4
Brazil	2	1	Colombia	735418	4
Netherlands	1	1	Costa Rica	735419	4
Argentina	1	0	Belgium	735419	4
Malawi	1	1	Mozambique	735420	1
Brazil	1	7	Germany	735422	4
Netherlands	1	1	Argentina	735423	4
Uganda	1	0	Seychelles	735425	1
Brazil	0	3	Netherlands	735426	4
Rwanda	1	0	Gabon	735426	1
Germany	0	0	Argentina	735427	4
Qatar	2	2	Indonesia	735428	1
Botswana	2	0	Lesotho	735428	1
Kenya	0	0	Burundi	735429	1
Uganda	0	0	Malawi	735429	1
Botswana	2	0	Guinea-Bissau	735433	2.5
Sierra Leone	2	0	Seychelles	735433	2.5
Uganda	2	0	Mauritania	735433	2.5
Tanzania	2	2	Mozambique	735434	2.5
Lesotho	1	0	Kenya	735434	2.5
Congo	2	0	Rwanda	735434	2.5
Benin	1	0	Malawi	735434	2.5
Mongolia	4	0	Northern Mariana Islands	735435	1
Guam	0	0	Macau	735435	1
Macau	1	2	Northern Mariana Islands	735437	1
Guam	2	0	Mongolia	735437	1
Macau	3	2	Mongolia	735439	1
Guam	5	0	Northern Mariana Islands	735439	1
Gabon	0	1	Rwanda	735441	1
Malawi	1	1	Benin	735447	2.5
Rwanda	1	1	Congo	735447	2.5
Guinea-Bissau	1	1	Botswana	735447	2.5
Angola	1	0	Ethiopia	735448	1
Mozambique	2	1	Tanzania	735448	2.5
Mauritania	0	1	Uganda	735448	2.5
Kenya	0	0	Lesotho	735448	2.5
Peru	3	0	Panama	735452	1
Tajikistan	4	1	Malaysia	735453	1
Kazakhstan	2	1	Tajikistan	735457	1
Angola	0	0	Botswana	735458	1
Guatemala	3	0	Nicaragua	735459	1
British Virgin Islands	2	4	Saint-Martin	735461	1
Panama	4	0	Cuba	735465	1
Azerbaijan	0	0	Uzbekistan	735465	1
Guatemala	1	0	Cuba	735468	1
French Guiana	0	1	Suriname	735469	1
Seychelles	1	2	Sri Lanka	735471	1
Norway	0	0	United Arab Emirates	735472	1
Seychelles	3	0	Sri Lanka	735473	1
Egypt	1	0	Kenya	735475	1
El Salvador	2	0	Dominican Republic	735475	1
Zambia	3	1	Sudan	735476	1
Niger	2	0	Uganda	735478	1
England	1	0	Norway	735479	1
Dominica	0	0	Guyana	735479	1
Costa Rica	3	0	Nicaragua	735479	1
Philippines	5	1	Taiwan	735479	1
Myanmar	4	1	Palestine	735479	1
Latvia	2	0	Armenia	735479	1
Lithania	1	1	United Arab Emirates	735479	1
Ukraine	1	0	Moldova	735479	1
Morocco	0	0	Qatar	735479	1
Ireland	2	0	Oman	735479	1
Germany	2	4	Argentina	735479	1
Czech Republic	0	1	USA	735479	1
Denmark	1	2	Turkey	735479	1
Russia	4	0	Azerbaijan	735479	1
Honduras	2	0	Belize	735480	1
Martinique	6	0	Bonaire	735480	1
Antigua and Barbuda	6	0	Anguilla	735480	1
St. Kitts and Nevis	0	0	St. Lucia	735480	1
Dominican Republic	0	1	St. Vincent and the Grenadines	735480	1
Barbados	1	1	Suriname	735480	1
Puerto Rico	2	2	Curacao	735480	1
French Guiana	1	1	Grenada	735480	1
Uzbekistan	2	0	Jordan	735480	1
El Salvador	1	2	Guatemala	735480	1
France	1	0	Spain	735480	1
Iraq	0	2	Peru	735480	1
China	3	1	Kuwait	735480	1
Italy	2	0	Netherlands	735480	1
Belarus	6	1	Tajikistan	735480	1
Bosnia and Herzegovina	3	0	Liechtenstein	735480	1
Sweden	2	0	Estonia	735480	1
Slovakia	1	0	Malta	735480	1
Croatia	2	0	Cyprus	735480	1
Belgium	2	0	Australia	735480	1
Japan	0	2	Uruguay	735481	1
Sudan	0	3	South Africa	735481	2.5
Guinea	2	1	Togo	735481	2.5
Senegal	2	0	Egypt	735481	2.5
South Korea	3	1	Venezuela	735481	1
St. Lucia	2	0	Guyana	735481	1
Morocco	3	0	Chad	735481	1
Kazakhstan	7	1	Kyrgyzstan	735481	1
Trinidad and Tobago	1	1	Guadeloupe	735482	1
Singapore	2	1	Papua New Guinea	735482	1
Tunisia	2	1	Botswana	735482	2.5
Ghana	1	1	Uganda	735482	2.5
Gabon	1	0	Angola	735482	2.5
Niger	1	3	Cape Verde	735482	2.5
Nigeria	2	3	Congo	735482	2.5
Burkina Faso	2	0	Lesotho	735482	2.5
Philippines	2	2	Myanmar	735482	1
Cote dIvoire	2	1	Sierra Leone	735482	2.5
Brazil	1	0	Colombia	735482	1
Zambia	0	0	Mozambique	735482	2.5
Ethiopia	1	2	Algeria	735482	1
Vietnam	3	1	Hong Kong	735482	1
Martinique	3	2	Barbados	735482	1
St. Kitts and Nevis	5	0	Dominica	735482	1
Puerto Rico	1	2	French Guiana	735482	1
Curacao	2	1	Grenada	735482	1
Antigua and Barbuda	2	1	Dominican Republic	735482	1
Anguilla	0	4	St. Vincent and the Grenadines	735482	1
Bonaire	3	2	Suriname	735482	1
Palestine	3	3	Taiwan	735482	1
DR Congo	0	2	Cameroon	735482	2.5
Denmark	2	1	Armenia	735483	2.5
Gibraltar	0	7	Poland	735483	2.5
Hungary	1	2	Northern Ireland	735483	2.5
Bolivia	0	4	Ecuador	735483	1
Greece	0	1	Romania	735483	2.5
Mali	2	0	Malawi	735483	2.5
Portugal	0	1	Albania	735483	2.5
Faroe Islands	1	3	Finland	735483	2.5
Germany	2	1	Scotland	735483	2.5
Morocco	3	0	Libya	735483	1
Costa Rica	2	2	Panama	735483	1
Burundi	2	0	Tanzania	735483	1
Puerto Rico	2	2	Grenada	735483	1
Serbia	1	1	France	735483	1
Bonaire	1	4	Barbados	735483	1
Curacao	0	0	French Guiana	735483	1
Kosovo	1	0	Oman	735483	1
Dominica	1	2	St. Lucia	735483	1
Chile	0	0	Mexico	735483	1
Paraguay	0	0	United Arab Emirates	735483	1
Georgia	1	2	Ireland	735483	2.5
Luxembourg	1	1	Belarus	735484	2.5
Estonia	1	0	Slovenia	735484	2.5
Spain	5	1	FYR of Macedonia	735484	2.5
Ukraine	0	1	Slovakia	735484	2.5
Montenegro	2	0	Moldova	735484	2.5
Russia	4	0	Liechtenstein	735484	2.5
Suisse	0	2	England	735484	2.5
Austria	1	1	Sweden	735484	2.5
San Marino	0	2	Lithania	735484	2.5
Antigua and Barbuda	2	1	St. Vincent and the Grenadines	735484	1
Anguilla	0	10	Dominican Republic	735484	1
Guatemala	2	1	Belize	735484	1
Honduras	0	1	El Salvador	735484	1
Uzbekistan	3	1	New Zealand	735484	1
Saudi Arabia	2	3	Australia	735484	1
Martinique	0	0	Suriname	735484	1
South Korea	0	1	Uruguay	735484	1
St. Kitts and Nevis	2	0	Guyana	735484	1
Iceland	3	0	Turkey	735485	2.5
Kazakhstan	0	0	Latvia	735485	2.5
Norway	0	2	Italy	735485	2.5
Croatia	2	0	Malta	735485	2.5
Azerbaijan	1	2	Bulgaria	735485	2.5
Bosnia and Herzegovina	1	2	Cyprus	735485	2.5
Andorra	1	2	Wales	735485	2.5
Singapore	0	0	Hong Kong	735485	1
China	1	1	Jordan	735485	1
Qatar	0	2	Peru	735485	1
Japan	2	2	Venezuela	735485	1
Indonesia	0	0	Yemen	735485	1
Czech Republic	2	1	Netherlands	735485	2.5
Kuwait	0	1	Bahrain	735485	1
Togo	2	3	Ghana	735486	2.5
Malawi	3	2	Ethiopia	735486	2.5
Angola	0	3	Burkina Faso	735486	2.5
Algeria	1	0	Mali	735486	2.5
Egypt	0	1	Tunisia	735486	2.5
South Africa	0	0	Nigeria	735486	2.5
Botswana	0	2	Senegal	735486	2.5
Lesotho	1	1	Gabon	735486	2.5
Cape Verde	2	1	Zambia	735486	2.5
Namibia	1	1	Swaziland	735486	1
Sierra Leone	0	2	DR Congo	735486	2.5
Mozambique	1	1	Niger	735486	2.5
Chile	1	0	Haiti	735486	1
Brazil	1	0	Ecuador	735486	1
Bolivia	0	1	Mexico	735486	1
Canada	3	1	Jamaica	735486	1
Congo	2	0	Sudan	735486	2.5
Cameroon	4	1	Cote dIvoire	735486	2.5
Uganda	2	0	Guinea	735486	2.5
Panama	2	0	Nicaragua	735487	1
El Salvador	2	0	Belize	735487	1
Honduras	0	2	Guatemala	735487	1
Honduras	1	0	Nicaragua	735490	1
Guatemala	1	2	Costa Rica	735490	1
El Salvador	0	1	Panama	735490	1
Indonesia	2	0	Malaysia	735490	1
Malaysia	4	1	Cambodia	735496	1
British Virgin Islands	0	6	St. Vincent and the Grenadines	735497	1
Indonesia	1	0	Cambodia	735501	1
Botswana	1	0	Zimbabwe	735506	1
Qatar	3	0	Uzbekistan	735512	1
India	2	3	Palestine	735512	1
Taiwan	0	2	Cambodia	735514	1
Trinidad and Tobago	6	1	Dominican Republic	735514	1
Guadeloupe	3	1	St. Vincent and the Grenadines	735514	1
Martinique	1	1	Curacao	735514	1
Haiti	2	2	French Guiana	735514	1
Antigua and Barbuda	2	1	St. Lucia	735514	1
St. Kitts and Nevis	2	3	Barbados	735514	1
Liechtenstein	0	0	Montenegro	735515	2.5
England	5	0	San Marino	735515	2.5
Lithania	1	0	Estonia	735515	2.5
Slovenia	1	0	Suisse	735515	2.5
Morocco	4	0	Central African Republic	735515	1
Sweden	1	1	Russia	735515	2.5
FYR of Macedonia	3	2	Luxembourg	735515	2.5
Belarus	0	2	Ukraine	735515	2.5
Qatar	5	0	Lebanon	735515	1
Moldova	1	2	Austria	735515	2.5
Slovakia	2	1	Spain	735515	2.5
Yemen	1	1	Iraq	735516	1
Malta	0	3	Norway	735516	2.5
Bulgaria	0	1	Croatia	735516	2.5
Lesotho	0	0	Angola	735516	2.5
Senegal	0	0	Tunisia	735516	2.5
Cyprus	1	2	Israel	735516	2.5
Belgium	6	0	Andorra	735516	2.5
Turkey	1	2	Czech Republic	735516	2.5
Botswana	0	2	Egypt	735516	2.5
Latvia	0	3	Iceland	735516	2.5
Netherlands	3	1	Kazakhstan	735516	2.5
Wales	0	0	Bosnia and Herzegovina	735516	2.5
China	3	0	Thailand	735516	1
South Korea	2	0	Paraguay	735516	1
Italy	2	1	Azerbaijan	735516	2.5
Jordan	0	1	Kuwait	735516	1
United Arab Emirates	0	0	Australia	735516	1
Oman	3	4	Costa Rica	735516	1
Japan	1	0	Jamaica	735516	1
Saudi Arabia	1	1	Uruguay	735516	1
Hong Kong	2	1	Singapore	735516	1
French Guiana	1	2	St. Kitts and Nevis	735516	1
Trinidad and Tobago	2	0	St. Lucia	735516	1
Mexico	2	0	Honduras	735516	1
Uzbekistan	0	0	Bahrain	735516	1
Romania	1	1	Hungary	735517	2.5
Finland	1	1	Greece	735517	2.5
Guinea	1	1	Ghana	735517	2.5
DR Congo	1	2	Cote dIvoire	735517	2.5
Albania	1	1	Denmark	735517	2.5
Scotland	1	0	Georgia	735517	2.5
Poland	2	0	Germany	735517	2.5
Northern Ireland	2	0	Faroe Islands	735517	2.5
Armenia	1	1	Serbia	735517	2.5
Malawi	0	2	Algeria	735517	2.5
Congo	0	2	South Africa	735517	2.5
Sierra Leone	0	0	Cameroon	735517	2.5
Uganda	0	1	Togo	735517	2.5
Ireland	7	0	Gibraltar	735517	2.5
Mozambique	2	0	Cape Verde	735517	2.5
Dominican Republic	0	0	Antigua and Barbuda	735517	1
St. Vincent and the Grenadines	1	0	Curacao	735517	1
Brazil	2	0	Argentina	735517	1
Haiti	4	2	Barbados	735517	1
Guadeloupe	1	2	Martinique	735517	1
Sudan	1	0	Nigeria	735517	2.5
France	2	1	Portugal	735517	1
Colombia	3	0	El Salvador	735517	1
Gabon	2	0	Burkina Faso	735517	2.5
Niger	0	0	Zambia	735517	2.5
Ethiopia	0	2	Mali	735517	2.5
USA	1	1	Ecuador	735517	1
Chile	3	0	Peru	735517	1
Laos	3	2	Cambodia	735518	1
Morocco	5	0	Mauritania	735518	1
Timor-Leste	4	2	Brunei	735518	1
Austria	1	0	Montenegro	735518	2.5
Estonia	0	1	England	735518	2.5
Russia	1	1	Moldova	735518	2.5
Sweden	2	0	Liechtenstein	735518	2.5
Luxembourg	0	4	Spain	735518	2.5
Belarus	1	3	Slovakia	735518	2.5
Trinidad and Tobago	1	0	Antigua and Barbuda	735518	1
Ukraine	1	0	FYR of Macedonia	735518	2.5
Pakistan	0	2	Palestine	735518	1
Mexico	1	0	Panama	735518	1
