Id,Label,timeset,pageranks,modularity_class,n_selecoes_ganhou,n_selecoes_perdeu,vitorias,derrotas,n_jogos,aproveitamento
Spain,Espanha,,0.011225,1,24,12,38,16,54,0.703704
Netherlands,,,0.011296,1,26,15,33,22,55,0.6
France,França,,0.015919,1,29,15,46,17,63,0.730159
Ireland,,,0.01044,1,22,23,33,28,61,0.540984
Serbia,,,0.006211,1,19,16,27,21,48,0.5625
Denmark,,,0.008478,1,18,17,28,24,52,0.538462
England,,,0.011201,1,25,16,40,19,59,0.677966
Slovenia,,,0.004766,1,14,17,19,23,42,0.452381
Algeria,,,0.006689,0,25,17,36,22,58,0.62069
Cape Verde,,,0.005375,0,13,12,18,16,34,0.529412
Luxembourg,,,0.003596,1,11,19,13,29,42,0.309524
Andorra,,,0.001382,1,5,17,5,27,32,0.15625
New Zealand,,,0.004623,3,10,16,15,19,34,0.441176
Japan,Japão,,0.00701,2,28,19,42,22,64,0.65625
Guinea,,,0.005526,0,24,21,36,34,70,0.514286
Armenia,,,0.00282,1,10,15,12,24,36,0.333333
Russia,,,0.005761,1,26,25,32,27,59,0.542373
Belarus,,,0.004491,1,20,19,23,29,52,0.442308
Bulgaria,,,0.006478,1,12,14,16,18,34,0.470588
Brazil,Brasil,,0.015928,4,25,12,47,16,63,0.746032
Greece,,,0.005266,1,20,22,26,30,56,0.464286
Hungary,,,0.004972,1,18,17,25,24,49,0.510204
Montenegro,,,0.003978,1,11,15,15,21,36,0.416667
Israel,,,0.002847,1,9,13,11,17,28,0.392857
Slovakia,,,0.007588,1,25,15,31,18,49,0.632653
Bosnia and Herzegovina,,,0.006369,1,20,14,27,20,47,0.574468
Egypt,Egito,,0.008203,0,21,15,32,19,51,0.627451
Northern Ireland,,,0.005414,1,20,17,27,22,49,0.55102
Cyprus,,,0.002659,1,8,15,11,22,33,0.333333
Tunisia,,,0.008565,0,23,22,37,27,64,0.578125
Colombia,Colômbia,,0.012468,4,26,12,39,25,64,0.609375
Turkey,,,0.007351,1,23,16,32,21,53,0.603774
Ukraine,,,0.006089,1,20,12,28,16,44,0.636364
Uruguay,Uruguai,,0.011242,4,25,15,32,24,56,0.571429
Austria,,,0.006658,1,18,16,27,19,46,0.586957
Croatia,,,0.009953,1,29,17,38,19,57,0.666667
Suisse,,,0.008464,1,25,14,34,17,51,0.666667
Cote dIvoire,,,0.006488,0,27,27,47,39,86,0.546512
Belgium,,,0.01006,1,29,13,42,15,57,0.736842
Scotland,,,0.007035,1,15,13,22,17,39,0.564103
Wales,,,0.010146,1,16,15,26,19,45,0.577778
Australia,,,0.007195,2,21,23,33,29,62,0.532258
Ecuador,,,0.008217,4,19,16,27,29,56,0.482143
Cameroon,,,0.007181,0,32,29,54,43,97,0.556701
Portugal,Portugal,,0.011831,1,33,18,44,22,66,0.666667
Bangladesh,,,0.001064,2,7,13,12,22,34,0.352941
India,,,0.002896,2,15,11,22,15,37,0.594595
Liechtenstein,Liechtenstein,,0.001027,1,6,20,7,29,36,0.194444
Georgia,,,0.004001,1,17,18,19,27,46,0.413043
Kazakhstan,,,0.002629,1,14,18,15,27,42,0.357143
Lithania,,,0.00203,1,10,16,14,28,42,0.333333
Azerbaijan,,,0.002189,1,11,18,15,26,41,0.365854
Malta,,,0.001268,1,6,20,7,32,39,0.179487
Albania,,,0.004959,1,15,17,20,23,43,0.465116
Latvia,,,0.00196,1,13,18,18,30,48,0.375
FYR of Macedonia,,,0.002771,1,14,17,16,26,42,0.380952
St. Lucia,,,0.002037,4,7,10,11,14,25,0.44
Malawi,,,0.002858,0,21,22,29,36,65,0.446154
Rwanda,,,0.003017,0,20,21,33,31,64,0.515625
Zambia,,,0.004666,0,26,24,51,40,91,0.56044
Niger,,,0.00288,0,14,16,18,25,43,0.418605
Comoros,,,0.002339,0,12,14,15,24,39,0.384615
Angola,,,0.003315,0,18,18,31,36,67,0.462687
Tanzania,,,0.003037,0,21,22,32,43,75,0.426667
Senegal,,,0.00873,0,28,14,47,24,71,0.661972
South Sudan,,,0.002025,0,9,12,12,20,32,0.375
Botswana,,,0.003051,0,15,21,22,35,57,0.385965
Gibraltar,,,0.000717,1,3,14,3,26,29,0.103448
Estonia,Estônia,,0.003021,1,22,21,33,32,65,0.507692
Haiti,,,0.003671,4,18,17,22,24,46,0.478261
Kosovo,,,0.001576,1,6,7,6,13,19,0.315789
Thailand,,,0.003295,2,21,20,33,27,60,0.55
Indonesia,,,0.002158,2,18,14,25,20,45,0.555556
Saudi Arabia,Arábia Saudita,,0.00549,2,23,18,33,23,56,0.589286
Syria,,,0.005966,2,19,14,31,21,52,0.596154
China,China,,0.005243,2,26,24,37,31,68,0.544118
United Arab Emirates,,,0.005191,2,24,20,41,32,73,0.561644
Uzbekistan,Uzbequistão,,0.005801,2,20,15,31,24,55,0.563636
Yemen,,,0.00268,2,12,19,19,30,49,0.387755
Hong Kong,,,0.001997,2,14,13,27,24,51,0.529412
Vietnam,,,0.003092,2,14,11,29,18,47,0.617021
Venezuela,,,0.007696,4,15,19,22,34,56,0.392857
Honduras,,,0.004874,4,18,24,39,46,85,0.458824
Paraguay,,,0.010074,4,15,17,21,32,53,0.396226
Lesotho,,,0.002273,0,15,19,26,36,62,0.419355
Swaziland,,,0.002963,0,16,13,23,25,48,0.479167
Nepal,Nepal,,0.001475,2,10,9,12,21,33,0.363636
Guam,,,0.002025,2,10,10,10,17,27,0.37037
Aruba,,,0.001318,4,5,8,6,9,15,0.4
Cuba,,,0.002298,4,7,11,9,18,27,0.333333
Mauritius,,,0.001902,0,13,20,16,29,45,0.355556
Kyrgyzstan,,,0.003067,2,12,16,19,21,40,0.475
Afghanistan,,,0.002011,2,14,20,24,26,50,0.48
Chad,,,0.004337,0,6,8,6,9,15,0.4
French Guiana,,,0.00217,4,12,13,16,17,33,0.484848
Guadeloupe,,,0.001596,4,6,5,7,11,18,0.388889
Martinique,,,0.00345,4,13,8,20,9,29,0.689655
Grenada,,,0.00223,4,10,15,17,24,41,0.414634
Panama,,,0.00634,4,20,21,44,44,88,0.5
Tajikistan,,,0.002388,2,11,12,17,19,36,0.472222
Laos,,,0.001267,2,9,20,16,34,50,0.32
Maldives,,,0.001315,2,9,16,17,26,43,0.395349
Dominican Republic,,,0.003167,4,11,9,13,12,25,0.52
São Tome e Ptincipe,,,0.001864,0,2,7,2,12,14,0.142857
Benin,,,0.00485,0,14,12,22,18,40,0.55
Equatorial Guinea,,,0.003841,0,13,19,14,22,36,0.388889
Kenya,Quênia,,0.003851,0,21,23,33,32,65,0.507692
Sierra Leone,,,0.004153,0,10,12,12,19,31,0.387097
Madagascar,,,0.007275,0,20,15,31,24,55,0.563636
Liberia,Libéria,,0.004491,0,8,9,10,12,22,0.454545
Guinea-Bissau,,,0.004462,0,8,11,11,17,28,0.392857
Central African Republic,,,0.005638,0,5,7,7,10,17,0.411765
Palestine,,,0.003108,2,20,15,28,20,48,0.583333
Myanmar,,,0.00192,2,16,19,25,32,57,0.438596
Turkmenistan,,,0.003929,2,7,11,10,14,24,0.416667
Suriname,,,0.002484,4,9,11,14,13,27,0.518519
Canada,,,0.004593,4,20,17,27,23,50,0.54
Peru,,,0.011745,4,18,14,32,26,58,0.551724
Bolivia,Boívia,,0.008722,4,9,14,14,27,41,0.341463
US Virgin Islands,,,0.002229,4,2,6,2,6,8,0.25
Montserrat,,,0.00252,4,3,2,3,3,6,0.5
Turks and Caicos Islands,,,0.000732,4,1,4,1,5,6,0.166667
British Virgin Islands,,,0.000781,4,1,9,1,12,13,0.076923
Bonaire,,,0.001962,4,3,5,3,5,8,0.375
Trinidad and Tobago,,,0.004165,4,20,23,32,37,69,0.463768
El Salvador,,,0.003401,4,10,20,22,37,59,0.372881
San Marino,,,0.000732,1,1,16,1,26,27,0.037037
Seychelles,,,0.0012,0,6,17,6,28,34,0.176471
Northern Mariana Islands,,,0.000776,2,1,4,1,5,6,0.166667
Mongolia,,,0.001247,2,4,6,5,10,15,0.333333
Macau,,,0.001294,2,9,15,12,21,33,0.363636
Nicaragua,Nicarágua,,0.003295,4,12,14,17,26,43,0.395349
Guatemala,,,0.003724,4,13,15,20,20,40,0.5
Saint-Martin,,,0.001028,4,1,0,1,0,1,1
Sri Lanka,,,0.000844,2,4,10,4,14,18,0.222222
Sudan,Sudão,,0.002762,0,14,17,19,30,49,0.387755
Taiwan,,,0.002663,2,14,12,19,21,40,0.475
Guyana,,,0.002221,4,11,11,13,13,26,0.5
Belize,,,0.004552,4,5,8,7,14,21,0.333333
Anguilla,,,0.000768,4,1,7,2,8,10,0.2
Antigua and Barbuda,,,0.002871,4,12,12,15,12,27,0.555556
Curacao,,,0.004303,4,17,14,20,21,41,0.487805
Puerto Rico,Porto Rico,,0.00154,4,6,11,9,16,25,0.36
St. Kitts and Nevis,,,0.002812,4,19,11,22,14,36,0.611111
Togo,,,0.003432,0,13,19,21,28,49,0.428571
Papua New Guinea,,,0.003784,3,5,7,6,10,16,0.375
Faroe Islands,,,0.002148,1,5,9,9,18,27,0.333333
Cambodia,,,0.001484,2,10,17,19,35,54,0.351852
Brunei,Brunei,,0.001198,2,3,8,4,12,16,0.25
Timor-Leste,,,0.001569,2,7,11,8,24,32,0.25
Bermuda,Bermuda,,0.00213,4,5,9,8,10,18,0.444444
Bhutan,,,0.001066,2,2,10,4,20,24,0.166667
Cayman Islands,Ilhas Cayman,,0.003065,4,1,2,2,3,5,0.4
Bahamas,,,0.00068,4,0,1,0,2,2,0
Gambia,,,0.00279,0,6,8,7,14,21,0.333333
Djibouti,,,0.001043,0,1,9,1,17,18,0.055556
Mayotte,,,0.00167,0,4,2,4,2,6,0.666667
Reunion,,,0.003408,0,4,1,4,1,5,0.8
Tonga,,,0.00068,3,0,8,0,9,9,0
Fiji,Ilhas Fiji,,0.00281,3,8,8,14,15,29,0.482759
American Samoa,,,0.002579,3,2,2,2,2,4,0.5
Samoa,,,0.002749,3,2,4,2,4,6,0.333333
Cook Islands,,,0.002074,3,2,1,2,1,3,0.666667
Somalia,Somália,,0.000921,0,1,4,1,6,7,0.142857
Eritrea,,,0.00068,0,0,1,0,2,2,0
Vanuatu,,,0.003198,3,5,4,11,6,17,0.647059
Sansibar,,,0.002859,0,4,4,6,5,11,0.545455
Sint Maarten,,,0.00104,4,1,2,1,2,3,0.333333
Solomon Islands,,,0.005259,3,8,6,12,13,25,0.48
New Caledonia,,,0.003041,3,8,9,11,14,25,0.44
Tahiti,Taiti,,0.004669,3,4,3,6,5,11,0.545455
Tuvalu,,,0.001422,3,2,3,2,3,5,0.4
