Código;País;Ataque;Defesa;Global
12;Australia;1,72987085;1,37081316;2,37133
153;Nigeria;1,38842373;1,6407621;2,278073
199;South Korea;1,52193848;1,47406836;2,243441
224;Tunisia;1,51280712;1,47524396;2,23176
86;Greece;1,35467425;1,57672467;2,135948
83;Ghana;1,45181746;1,46927348;2,133117
26;Bolivia;1,85350244;1,14937922;2,130377
77;FYR of Macedonia;1,65830574;1,27509711;2,114501
160;Norway;1,69293203;1,22653396;2,076439
62;DR Congo;1,93719853;0,99498556;1,927485
235;Uzbekistan;1,22278484;1,57079755;1,920747
74;Finland;1,40728885;1,3565661;1,90908
3;Algeria;1,97600017;0,95831889;1,893638
2;Albania;1,21027961;1,524654;1,845258
33;Bulgaria;1,48215699;1,23927619;1,836802
97;Hungary;1,69490866;1,05784294;1,792947
37;Cameroon;1,20796527;1,43885141;1,738083
165;Panama;1,29785782;1,32837691;1,724044
214;Syria;1,35045308;1,26155551;1,703672
185;Saudi Arabia;1,64304094;1,02342641;1,681531
80;Georgia;1,24821405;1,32864522;1,658434
34;Burkina Faso;1,32373369;1,25114833;1,656187
51;Cote dIvoire;1,24536781;1,32563895;1,650908
198;South Africa;1,55221925;1,0531992;1,634796
102;Iraq;1,36961798;1,15569581;1,582862
231;United Arab Emirates;1,17159196;1,34086317;1,570945
242;Zambia;1,24135486;1,2571827;1,56061
104;Israel;1,17053425;1,28330859;1,502157
95;Honduras;1,27959054;1,13057367;1,446671
243;Zimbabwe;1,4334872;0,98906256;1,417809
38;Canada;1,1714188;1,19386509;1,398516
44;China;1,21570982;1,10542709;1,343879
10;Armenia;1,67502408;0,78094743;1,308106
19;Belarus;1,11799087;1,16220318;1,299333
70;Estonia;1,09556786;1,15770909;1,268349
229;Uganda;0,80420557;1,56876503;1,26161
120;Libya;1,04004374;1,20283681;1,251003
173;Qatar;1,33976809;0,92438169;1,238457
108;Jordan;1,13651772;1,08268062;1,230486
106;Jamaica;1,11994646;1,09554645;1,226953
91;Guinea;1,58389325;0,76912286;1,218209
129;Mali;1,00934395;1,11557049;1,125994
48;Congo;1,24383296;0,90180455;1,121694
16;Bahrain;0,92529493;1,17263167;1,08503
183;Sansibar;1,3471371;0,77985331;1,050569
150;New Zealand;0,97953837;1,04610492;1,0247
117;Lebanon;0,95573061;1,07079878;1,023395
39;Cape Verde;1,06428772;0,95717762;1,018712
55;Cyprus;1,05370113;0,95799415;1,00944
164;Palestine;1,12753849;0,89151657;1,005219
144;Namibia;0,91180225;1,09435457;0,997835
161;Oman;0,98452488;0,98308043;0,967867
223;Trinidad and Tobago;1,20834656;0,79253144;0,957653
116;Latvia;1,03489914;0,88747499;0,918447
94;Haiti;1,09040507;0,83603731;0,911619
125;Madagascar;1,06661088;0,81248179;0,866602
90;Guatemala;1,00769497;0,84660328;0,853118
22;Benin;1,10380834;0,77063806;0,850637
66;El Salvador;0,93523283;0,88758677;0,8301
78;Gabon;0,84313529;0,97922014;0,825615
221;Togo;0,88071625;0,93410155;0,822678
178;Rwanda;0,88495618;0,92403188;0,817728
14;Azerbaijan;0,94107232;0,86023366;0,809542
131;Martinique;1,05050304;0,770068;0,808959
123;Luxembourg;1,05640149;0,76570918;0,808896
109;Kazakhstan;0,89096605;0,89623932;0,798519
113;Kuwait;0,79488622;0,99559564;0,791385
6;Angola;0,70064913;1,12901933;0,791046
35;Burundi;0,84141897;0,93270953;0,784799
219;Thailand;1,03443629;0,75038125;0,776222
110;Kenya;0,69320804;1,09372899;0,758182
155;North Korea;1,13178726;0,64933468;0,734909
41;Central African Republic;1,15406421;0,60044144;0,692948
142;Mozambique;0,86624458;0,79030693;0,684599
238;Vietnam;0,77152505;0,85537183;0,659941
122;Lithania;0,7443731;0,87145204;0,648685
209;Sudan;0,63820119;0,9479686;0,604995
151;Nicaragua;0,83409976;0,71772945;0,598658
212;Swaziland;0,76212318;0,7825521;0,596401
112;Kosovo;0,71909773;0,81804655;0,588255
218;Tanzania;0,81273729;0,72205576;0,586842
132;Mauritania;0,72731751;0,80535657;0,58575
191;Sierra Leone;0,81100341;0,71729146;0,581726
68;Equatorial Guinea;0,69297983;0,81832066;0,56708
152;Niger;0,65514596;0,84667774;0,554698
126;Malawi;0,56503692;0,96832729;0,547141
92;Guinea-Bissau;0,8229969;0,66212691;0,544928
137;Moldova;0,51976234;0,99238035;0,515802
72;Faroe Islands;0,51408998;0,9959155;0,51199
29;Botswana;0,65666063;0,74761661;0,49093
21;Belize;0,95559906;0,51085324;0,488171
61;Dominican Republic;0,74349117;0,64519861;0,479699
71;Ethiopia;0,95660945;0,49815407;0,476539
134;Mayotte;0,78086468;0,61011515;0,476417
119;Liberia;0,72333045;0,64225282;0,464561
54;Curacao;0,6354204;0,70303034;0,44672
47;Comoros;0,51727999;0,85891802;0,444301
42;Chad;0,71786253;0,6105719;0,438307
76;French Guiana;0,97681463;0,44613887;0,435795
100;Indonesia;0,74321883;0,5670962;0,421477
96;Hong Kong;0,55897839;0,74402007;0,415891
118;Lesotho;0,66606216;0,62415973;0,415729
205;St. Kitts and Nevis;0,67778137;0,58943458;0,399508
8;Antigua and Barbuda;0,75043613;0,49615879;0,372335
114;Kyrgyzstan;0,71095072;0,46667203;0,331781
226;Turkmenistan;0,72829201;0,45502465;0,331391
130;Malta;0,42555007;0,77119239;0,328181
211;Suriname;0,56040989;0,57034369;0,319626
169;Philippines;0,71538333;0,4344871;0,310825
93;Guyana;0,70705656;0,4362353;0,308443
217;Tajikistan;0,70799445;0,42329222;0,299689
184;São Tome e Ptincipe;0,56216988;0,50975453;0,286569
99;India;0,62603558;0,45664495;0,285876
79;Gambia;0,38324763;0,73154234;0,280362
88;Guadeloupe;0,66226553;0,42264418;0,279903
1;Afghanistan;0,55515815;0,47272621;0,262438
23;Bermuda;0,70317838;0,36628495;0,257564
240;Yemen;0,35047677;0,67111623;0,235211
236;Vanuatu;0,59266226;0,39425841;0,233662
18;Barbados;0,57707925;0,4047436;0,233569
192;Singapore;0,44038873;0,52129625;0,229573
208;St. Vincent and the Grenadines;0,85794385;0,25890427;0,222125
87;Grenada;0,57487981;0,37311196;0,214495
133;Mauritius;0,48060477;0,44449734;0,213628
73;Fiji;0,50778498;0,41268966;0,209558
140;Montserrat;0,55757579;0,36116748;0,201378
53;Cuba;0,43585476;0,46166398;0,201218
196;Solomon Islands;0,46832864;0,41989297;0,196648
143;Myanmar;0,53651345;0,36150168;0,193951
5;Andorra;0,29755238;0,65058402;0,193583
216;Taiwan;0,55573414;0,34036299;0,189151
215;Tahiti;0,32671996;0,57243331;0,187025
206;St. Lucia;0,41045613;0,45394459;0,186324
149;New Caledonia;0,3819874;0,44971279;0,171785
190;Seychelles;0,40211149;0,42312025;0,170142
200;South Sudan;0,50159766;0,33528553;0,168178
127;Malaysia;0,4391797;0,36820955;0,16171
172;Puerto Rico;0,36591976;0,43686457;0,159857
60;Dominica;0,4180526;0,36455011;0,152401
128;Maldives;0,60040229;0,24665833;0,148094
89;Guam;0,32989345;0,43035513;0,141971
166;Papua New Guinea;0,66365597;0,21092648;0,139983
40;Cayman Islands;0,21943375;0,63057553;0,13837
121;Liechtenstein;0,25043764;0,54179954;0,135687
36;Cambodia;0,41696328;0,32450172;0,135305
11;Aruba;0,28622587;0,471313;0,134902
162;Pakistan;0,4092927;0,29341118;0,120091
84;Gibraltar;0,28630684;0,37338947;0,106904
69;Eritrea;0,37442587;0,26257742;0,098316
27;Bonaire;0,41350186;0,20204203;0,083545
124;Macau;0,35371313;0,22433235;0,079349
146;Nepal;0,19478887;0,40197572;0,0783
227;Turks and Caicos Islands;0,43485703;0,15149885;0,06588
138;Mongolia;0,40218011;0,16266479;0,065421
182;San Marino;0,18463561;0,33774007;0,062359
115;Laos;0,28464841;0,21835616;0,062155
32;Brunei;0,37050425;0,15561761;0,057657
59;Djibouti;0,24459113;0,2255538;0,055168
220;Timor-Leste;0,2362244;0,23075445;0,05451
197;Somalia;0,1821863;0,26611285;0,048482
24;Bhutan;0,29631274;0,1518498;0,044995
180;Saint-Martin;0,66271989;0,06468176;0,042866
17;Bangladesh;0,1641617;0,24376102;0,040016
233;US Virgin Islands;0,19179147;0,17565166;0,033688
49;Cook Islands;0,11230908;0,23488059;0,026379
193;Sint Maarten;0,19624555;0,1221092;0,023963
31;British Virgin Islands;0,12936352;0,16568005;0,021433
204;Sri Lanka;0,1281036;0,16436765;0,021056
228;Tuvalu;0,27731576;0,07373979;0,020449
4;American Samoa;0,20113096;0,0914881;0,018401
7;Anguilla;0,0892452;0,14544638;0,01298
181;Samoa;0,15362392;0,07965481;0,012237
159;Northern Mariana Islands;0,14966822;0,07668226;0,011477
222;Tonga;0,11585434;0,08281476;0,009594
25;Bohemia and Moravia;0,001;0,99999947;0,001
45;CIS;0,001;0,99999947;0,001
57;Czechoslovakia;0,001;0,99999947;0,001
63;Dutch East Indies;0,001;0,99999947;0,001
81;German Dem Republic;0,001;0,99999947;0,001
85;Great Britain;0,001;0,99999947;0,001
111;Kiribati;0,001;0,99999947;0,001
136;Micronesia;0,001;0,99999947;0,001
145;Nauru;0,001;0,99999947;0,001
148;Netherlands Antilles;0,001;0,99999947;0,001
154;Niue;0,001;0,99999947;0,001
156;North Vietnam;0,001;0,99999947;0,001
157;North Yemen;0,001;0,99999947;0,001
163;Palau;0,001;0,99999947;0,001
174;RCS;0,001;0,99999947;0,001
179;Saarland;0,001;0,99999947;0,001
189;Serbia and Montenegro;0,001;0,99999947;0,001
201;South Yemen;0,001;0,99999947;0,001
202;Soviet Union;0,001;0,99999947;0,001
207;St. Pierre and Miquelon;0,001;0,99999947;0,001
241;Yugoslavia;0,001;0,99999947;0,001
15;Bahamas;0,001;0,1758673;0,000176
